Movie,Total Comments
Tango Charlie,7
Main Khiladi Tu Anari,8
Talaash: The Hunt Begins...,1938
Ram Gopal Varma Ki Aag,22
Kyo Kii Main Jhuth Nahin Bolta,547
Eternals,47741
Gumraah,901
Ishq Vishk,70
Yeh Raaste Hain Pyaar Ke,2500
Prem Granth,7
Tere Mere Sapne,0
Dus Kahaniyaan,2
Kaalakaandi,65
One Two Three,10
Kya Yehi Pyaar Hai,49
777 Charlie,602
Joru Ka Ghulam,181
Jis Desh Mein Ganga Rehta Hain,495
Road,122
IB 71,9283
Bank Chor,1981
The Legend of Bhagat Singh,106
Baazigar,6
Main Aurr Mrs Khanna,0
Zeher,10
Deewana,8
Amar Akbar Anthony,5218
Godzilla vs. Kong,49223
Shang-Chi and the Legend of the Ten Rings,29603
Aap Ki Khatir,8
Raman Raghav 2.0,2310
Jaal: The Trap,2995
Dil,522
Knock Out,1
Laadla,124
Kalyug,40
Chocolate,185
Akele Hum Akele Tum,4
Suhaag,0
Khamoshi: The Musical,532
Venom: Let There Be Carnage,54148
Goodbye,11079
Prassthanam,2228
Sapoot,10
Jeena Sirf Merre Liye,8
Deewane,1141
Armaan,1
Dil Ne Jise Apna Kahaa,11
Sonchiriya,7765
Kahin Pyaar Na Ho Jaaye,10617
Sooryavansham,134231
Bhaiaji Superhit,3883
Daraar,1
Army,5565
Vijaypath,29
Blank,63
Chef,2104
Calendar Girls,27
Dilwale,16144
Maharaja,3
Tezaab,14
Haqeeqat,65
