Movie,Total Comments
Tevar,179
Hum Saath-Saath Hain: We Stand United,100
Kal Ho Naa Ho,711
Khatta Meetha,31
Blue,3
Cirkus,31587
A Flying Jatt,0
Ta Ra Rum Pum,609
Hasee Toh Phasee,323
Main Hoon Na,1165
MOM,127
Namastey London,28
Shaadi Ke Side Effects,755
Naam Shabana,1655
Tanu Weds Manu,2163
Bachna Ae Haseeno,144
Phata Poster Nikla Hero,3477
Thank God,73541
Fukrey,289
Mastizaade,5
Bunty Aur Babli,274
Tumhari Sulu,5151
Bullett Raja,47
Ramaiya Vastavaiya,1475
Ghayal Once Again,1147
Force 2,5294
Mardaani,2336
Finding Fanny,0
Runway 34,16634
Vicky Donor,402
Badmaash Company,69
Chhapaak,43030
Dil To Pagal Hai,166
English Vinglish,308
Judgementall Hai Kya,13844
Hamari Adhuri Kahani,146
Lagaan: Once Upon a Time in India,53
Bareilly Ki Barfi,4049
Sarkar Raj,6
Yamla Pagla Deewana 2,1018
Panipat,106108
Hero,182
Bell Bottom,113424
Azhar,310
Kill Dil,1130
Dhamaal,2676
Kahaani 2,2717
Ladies vs Ricky Bahl,634
Uunchai,1182
Munna Michael,6180
Ghanchakkar,8
Jai Gangaajal,3377
Rascals,18
Jolly LLB,230
NH10,1741
Soorma,15758
Commando 3,28416
Shehzada,42297
Dhoom,1223
Karthikeya 2,14960
Baar Baar Dekho,174
Vivah,528
Patiala House,73
Bhoot Part One,14948
Jab We Met,97
Highway,112
Thappad,36900
Talvar,1557
Delhi-6,95
Raaz Reboot,532
Peepli Live,125
Paa,46
Jism 2,131
Ittefaq,11377
Dum Laga Ke Haisha,1192
Jannat,126
Thor: Love And Thunder,60237
Golmaal: Fun Unlimited,18
Mausam,102
Shootout at Lokhandwala,209
Tashan,245
Chandni Chowk to China,119
Mujhse Shaadi Karogi,3
Guzaarish,403
Action Replayy,66
Garam Masala,25
Lootera,454
Dil Toh Baccha Hai Ji,36
Ferrari Ki Sawaari,51
Happy Bhaag Jayegi,1567
Akira,143
Pari,3662
Players,340
London Dreams,35
PM Narendra Modi,13504
Doctor Strange In The Multiverse Of Madness,87798
Ishqiya,133
Baazaar,15079
Kyaa Kool Hain Hum 3,5
Doctor G,21187
