Movie,Total Comments
Luck,0
Rangoon,2733
U Me Aur Hum,89
A Gentleman,51
Newton,6956
Jersey,60209
Life Partner,519
Blackmail,3543
Rangeela,24
Karwaan,6652
The Ghazi Attack,31
Dil Chahta Hai,206
Rocket Singh: Salesman of the Year,201
Kaante,95
Masti,3
Waqt: The Race Against Time,4
The Accidental Prime Minister,70126
The Sky Is Pink,16214
Kidnap,3252
Raja,5694
The Lunchbox,796
Sunday,49
Hulchul,10958
Tere Naal Love Ho Gaya,0
Badhaai Do,15558
Taxi No. 9211,93
Krazzy 4,1
Chance Pe Dance,0
Agni Sakshi,8
Radhe Shyam,27297
Ungli,245
Fitoor,2595
Chalte Chalte,282
Alone,850
Lipstick Under My Burkha,2536
Te3n,1793
Dolly Ki Doli,490
Bade Miyan Chote Miyan,58157
Barsaat,13
Kaal,152
Dulhan Hum Le Jayenge,2
Jabariya Jodi,14207
Hum Kisise Kum Nahin,2381
Sarfarosh,26
Jodi No.1,167
Liger,40762
Chori Chori Chupke Chupke,3
Madaari,2368
Ziddi,1043
Bluffmaster!,418
Gupt: The Hidden Truth,146
Pyaar Kiya To Darna Kya,18
Jayeshbhai Jordaar,17881
Begum Jaan,7459
Josh,0
Fool n Final,15
Main Prem Ki Diwani Hoon,44
Creature,195
Break Ke Baad,299
Aankhen,27
7 Khoon Maaf,4
Qayamat: City Under Threat,0
Attack - Part 1,23087
Laaga Chunari Mein Daag,161
Simran,5202
Baabul,0
Mujhe Kucch Kehna Hai,1
Cheeni Kum,839
Band Baaja Baaraat,64
Ajnabee,71
Selfiee,22347
Aiyaary,9177
Refugee,235
Bombay Talkies,746
Hero No. 1,2172
Section 375,7855
Bewafaa,34
Hum Aapke Dil Mein Rehte Hain,1786
Qarib Qarib Singlle,5544
Yuvvraaj,0
Do Knot Disturb,13
Parineeta,62
Mumbai Saga,34695
Jeet,9
Humraaz,6880
The Tashkent Files,15420
Awara Paagal Deewana,350
Kachche Dhaage,11
Swades,720
1921,7959
Andaaz,22
All Is Well,547
Dhol,31
Zilla Ghaziabad,591
Lajja,3
Life in a Metro,1222
Aitraaz,64
Kyaa Kool Hai Hum,27
Ponniyin Selvan - Part 2,8669
Sholay,30
