Movie,Total Comments
Bol Bachchan,521
Raid,1109
2 States,225
Grand Masti,8
Race 2,5487
Singham,1893
Shivaay,13994
Batla House,20902
Zero,214576
Welcome Back,1346
Baaghi 3,115704
Baby,8428
Manikarnika: The Queen of Jhansi,40915
Luka Chuppi,26175
Raajneeti,3
Talaash,308
Satyameva Jayate,34979
Bholaa,45228
Singh Is Bliing,1345
Zindagi Na Milegi Dobara,743
Badla,1127
Gabbar is Back,689
Rab Ne Bana Di Jodi,469
Kantara,2058
Kalank,18609
Pati Patni Aur Woh,25335
JugJugg Jeeyo,8856
Fan,22392
My Name Is Khan,837
Brothers,459
Padman,30727
Oh My God,1870
Veere Di Wedding,19980
Sairat,4269
Dhoom 2,558
Fukrey Returns,2535
The Dirty Picture,319
Piku,600
Sui Dhaaga - Made In India,40792
Vikram Vedha,79505
Gunday,1138
Om Shanti Om,1057
Baadshaho,4049
Aashiqui 2,5963
Dil Dhadakne Do,1530
Humpty Sharma Ki Dulhania,579
Gadar: Ek Prem Katha,6686
Baaghi,243
Housefull,186
Neerja,197
Lage Raho Munna Bhai,62
Ram Setu,49541
Andhadhun,8976
Dhadak,54890
Street Dancer 3D,32841
Kapoor & Sons,1400
Hum Aapke Hain Koun..!,118
Entertainment,189
Krrish,170
Cocktail,23
Student Of The Year 2,14798
Khiladi 786,42
Welcome,50300
Dishoom,2217
Student Of The Year,741
Raaz 3,185
Hindi Medium,7111
Bhediya,30627
Kedarnath,24277
Dear Zindagi,22
Singh Is Kinng,52
Chak De India,539
Tamasha,1277
Drishyam,3947
Special 26,2430
Love Aaj Kal,32911
Article 15,49722
R... Rajkumar,11444
Samrat Prithviraj,73875
Parmanu The Story Of Pokhran,924
Pink,7352
Jab Harry Met Sejal,11416
Pyaar Ka Punchnama 2,1742
Ajab Prem Ki Ghazab Kahani,30
Satyagraha,519
Humshakals,54
Secret Superstar,7710
Taare Zameen Par,44
Shubh Mangal Zyada Saavdhan,31716
Rockstar,826773
Laal Singh Chaddha,117172
Once Upon Ay Time In Mumbai Dobaara!,6485
Tees Maar Khan,31
Queen,19145
Wanted,560
Race,1179
Udta Punjab,6914
Half Girlfriend,16072
Befikre,15911
