Movie,Views,Sentiment,Total BO Collection
Trailer BAGHBAAN_RO.mpg,92097,0.36833333333333335,430000000
Luck — Official Trailer | Apple TV+,17160725,0,330000000
"Rangoon | Official Trailer | Shahid Kapoor, Saif Ali Khan and Kangana Ranaut",18807737,0.1483790283790284,390000000
U Me Aur Hum (Unseen Trailer) | Kajol &amp; Ajay Devgn,644396,0.24326388888888886,390000000
A Gentleman | Official Trailer | In Cinemas August 24,177619,0.08812500000000001,380000000
Newton | Official Trailer | Rajkummar Rao,15596547,0.065375,280000000
Jersey - Official Trailer #1 | Shahid Kapoor | Mrunal Thakur | Gowtam Tinnanuri | 22nd April 2022,68478436,0.09702651515151514,260000000
Life Partners - Official Trailer,75854,0.2523313492063492,320000000
Official Trailer: Blackमेल  | Irrfan Khan | Abhinay Deo | 6th April 2018,15125988,0.2695208333333333,300000000
Rangeela | A love triangle with a Mumbaiyya twist! | Short Film,341990,0.07749999999999999,330000000
Karwaan | Official Trailer | Irrfan Khan | DulQuer Salmaan | Mithila Palkar | 3rd Aug 2018,14838384,0.20320502645502647,290000000
The Ghazi Attack | Official Trailer | Karan Johar | Rana Daggubati | Taapsee Pannu,15810016,0.3051666666666667,340000000
Dil Chahta Hai | Bollywood Nostalgia | Trailer | Netflix India,610800,0.24123511904761905,380000000
Rocket Singh - Salesman of the Year | Official Trailer | Ranbir Kapoor | Shimit Amin,648298,0.120875,330000000
Kaante  - Theatrical Trailer,206282,0.1448809523809524,410000000
Masti 2004 promo,62982,0.5,340000000
WAQT THE RACE AGAINST TIME,46369,0.3333333333333333,420000000
The Accidental Prime Minister | Official Trailer | Releasing January 11 2019,79778296,0.03274242424242425,260000000
"The Sky Is Pink - Official Trailer | Priyanka C J, Farhan A, Zaira W, Rohit S | Shonali B | Oct 11",35920488,0.266967803030303,280000000
Kidnap Official Trailer 1 (2016) - Halle Berry Movie,5619321,0.15574122807017546,330000000
Kamal Raja - TRAILER (Releasing Soon),26858,0.05263157894736842,330000000
The Lunchbox | Official Trailer HD (2013),1675334,0.16999999999999998,1000000000
"Sunday (Theatrical Trailer) | Ajay Devgn, Ayesha Takia, Arshad Warsi &amp; Irfan Khan",231576,0.10854166666666668,310000000
Hulchul | Hindi Movies 2016 Full Movie | Akshaye Khanna | Kareena Kapoor | Bollywood Comedy Movies,94968931,0.1638157894736842,310000000
Tere Naal Love Ho Gaya Trailers,28696,0,310000000
"Badhaai Do Official Trailer | Rajkummar R, Bhumi P | Harshavardhan Kulkarni | In Cinemas 11th Feb",27327197,-0.08821685606060603,230000000
Taxi no 9211,7836,0.0,310000000
"Krazzy 4 - Arshad Warsi, Juhi Chawla | Trailer | Full Movie Link in Description",31366,0.78,310000000
Theatrical Trailer (Chance Pe Dance),1260,0,290000000
Agnisakshi - Theatrical Trailer | Nana Patekar | Manisha Koirala | Jackie Shroff,4026,0.28750000000000003,310000000
Radhe Shyam Trailer | Prabhas | Pooja Hegde | Radha Krishna Kumar | Bhushan Kumar | In Cinemas Now,62182019,0.10593750000000002,1440000000
"Ungli | Official Trailer | Emraan Hashmi, Kangana Ranaut, Randeep Hooda, Sanjay Dutt",3627476,0.39543367346938774,290000000
"Yeh Fitoor Mera | Fitoor | Aditya Roy Kapur, Katrina Kaif | Arijit Singh | Amit Trivedi",17211584,0.057499999999999996,390000000
"Chalte Chalte | Trailer | Now in HD | Shah Rukh Khan, Rani Mukherji | A film by Aziz Mirza",1415666,0.16078484848484847,400000000
Alone - Official Trailer,3314942,0.14494791666666668,290000000
"LIPSTICK UNDER MY BURKHA | Official Trailer | Releasing 21 July | Konkona Sensharma, Ratna Pathak",11045499,0.10763095238095237,260000000
"TE3N | Official Trailer | Amitabh Bachchan, Nawazuddin Siddiqui, Vidya Balan | Ribhu Dasgupta",7524182,0.10633333333333332,330000000
Dolly Ki Doli Official Theatrical Trailer,3261307,0.13225,280000000
BadeMiyanChoteMiyan | AkshayKumar | TigerShroff | AAZ |Vashu &amp; Jackky Bhagnani |Deepshikha |Himanshu,51830060,0.06500000000000002,350000000
Barsaat   A Sublime Love Story trailer,163577,0.2808333333333334,330000000
Kaal - Movie - Trailer,882012,0.08111742424242425,320000000
Dulhan Hum Le jayenge - Official Trailer,17785,0.8333333333333333,360000000
"Jabariya Jodi – Official Trailer | Sidharth Malhotra, Parineeti Chopra |  9th August 2019",25497983,0.15416666666666667,250000000
&quot;Hum Kisise Kum Nahin&quot; Promo on Zee Aflam,10924,0,290000000
"Sarfarosh - Official Tralier - Aamir Khan, Sonali Bendre &amp; Naseeruddin Shah",400696,0.32049999999999995,290000000
Jodi No 1   Full movie Full HD 1080p ( 2001)  Govinda &amp; Sanjay Dutt   English subtitles,1665761,0.185,340000000
LIGER TRAILER (Hindi) | Vijay Deverakonda | Puri Jagannadh | Ananya Panday | Karan Johar | 25th Aug,60869819,0.12166666666666667,560000000
Chori Chori Chupke Chupke 2001   Official Trailer   Salman Khan   Rani Mukerji   NH Studioz,35303,0.48888888888888893,370000000
"MADAARI Official Trailer 2016 | Irrfan Khan, Jimmy Shergill | T-Series",10957775,0.02,280000000
Fights &amp; Action Scenes - Sunny Deol - Raveena Tandon - Anupam Kher - Ziddi Action Drama Hindi Movie,13721724,0.001944444444444443,320000000
"Bluff Master Theatrical Trailer || Satya Dev, Nandita Swetha || Sunil Kasyap || Gopi Ganesh",608514,0.10291666666666668,310000000
"Gupt: The Hidden Truth | OFFICIAL TRAILER | (Eng Sub) Bobby Deol, Kajol, Manisha Koirala",533178,0.18659356725146198,330000000
"pyar Kiya to Darna kya 2 movie official trailer Ajay Devgan, Salman Khan, Kajol, Dharmendra, releasi",32162,0.03125,330000000
Jayeshbhai Jordaar | Official Trailer | Ranveer Singh | Shalini Pandey | Divyang Thakkar,50152220,0.26863194444444444,170000000
Begum Jaan | Official Trailer | Vidya Balan | Srijit Mukherji,37703124,0.15416666666666667,0
Josh (2000) Trailer | SRK | Aishwarya Rai | Josh movie scene,5686,0,340000000
fool n final theatrical trailer,122949,0.13088541666666667,270000000
Main Prem Ki Diwani Hoon - Theatrical Trailer,283937,0.11583333333333332,380000000
Creature | Official Trailer | Netflix,503185,0.343846490111196,250000000
Break Ke Baad Theatrical Trailer,1104931,0.20002976190476188,290000000
Aankhen 2002 Trailer - Gaurang Doshi Productions,191996,0.1797544642857143,290000000
7 khoon maaf trailer,58102,-0.11666666666666668,270000000
Qayamat: City Under Threat Trailer,8562,0,280000000
"Attack | Official Trailer | John A, Jacqueline F, Rakul Preet S | Lakshya Raj Anand| April 1st, 2022",38908251,0.10651515151515152,220000000
Laaga Chunari Mein Daag | Official Trailer | Rani Mukerji | Abhishek Bachchan | Pradeep Sarkar,1319561,0.19274305555555554,350000000
Simran Official Trailer | Kangana Ranaut |  Hansal Mehta | T-Series,13390896,0.148,270000000
Baabul 2006   Official Trailer   Amitabh Bachchan   Salman Khan   Rani Mukerji   NH Studioz,10599,0,380000000
Mujhe Kucch Kehna Hai - Trailer,11367,0.5,290000000
Cheeni Kum Title Track | Full Video Song | Cheeni Kum | Amitabh Bachchan &amp; Tabu,2905881,0.2007638888888889,310000000
Band Baaja Baaraat - Trailer,287309,0.1695,300000000
