Movie,Total Comments
No Problem,49
Manmarziyaan,8088
Wake Up Sid,245
No One Killed Jessica,0
Mangal Pandey: The Rising,0
Sanam Re,1966
Panga,18646
Dedh Ishqiya,270
Sarbjit,6286
Force,92
Jawaani Jaaneman,55902
Jhoom Barabar Jhoom,67
Hate Story 2,985
Detective Byomkesh Bakshy,2939
Tadap,5143
Malamaal Weekly,3
Raja Natwarlal,31
Singh Saab The Great,272
Ek Paheli Leela,2267
Fashion,94
The Hero: Love Story of a Spy,1795
Salaam Namaste,7
Khakee,3978
Karan Arjun,86
Karthik Calling Karthik,387
Raabta,3175
Dhobi Ghat,70
Biwi No.1,25
Maine Pyaar Kyun Kiya?,13
Ek Thi Daayan,591
Teri Meri Kahaani,441
Haunted 3D 2011,201
F.A.L.T.U,193
Raaz-The Mystery Continues 2009,12
Daawat-E-Ishq,680
Jazbaa,2920
Rock On!!,82
Commando 2,4893
Rocky Handsome,2532
Gangs of Wasseypur,362
Go Goa Gone,323
Jaan-E-Mann,4
Ishq,2467
Junglee,21364
Hum Dil De Chuke Sanam,19
Sarkar,140540
Katti Batti,22
Mr. X,184
Khoobsurat,150
Indian,34619
Enthiran,872
D Day,211
Bombay Velvet,91
Saand Ki Aankh,250
Bhoothnath,0
OK Jaanu,592
Lakshya,350
Dil Bole Hadippa!,636
Thackeray,32820
Dus,20
Omkara,132
Black,720
Munna Bhai M.B.B.S.,199
Ponniyin Selvan - Part 1,22528
36 China Town,0
Mission Kashmir,106
Salaam-e-Ishq: A Tribute to Love,196
Pardes,2
Billu,321
Kismat Konnection,70
1920 - Evil Returns,256
Mere Baap Pehle Aap,5
Joker,126214
Murder 3,44
Ek Ladki Ko Dekha Toh Aisa Laga,13346
Mrs Chatterjee Vs Norway,1206
Chandigarh Kare Aashiqui,10120
Saawariya,19
Shamitabh,82
Hate Story 4,14797
Taal,40
Aurangzeb,1120
Rocketry: The Nambi Effect,5643
Happy Phirr Bhag Jayegi,11423
Roohi,25573
Apne,19
Black Adam,23015
Jurassic World: Dominion,51926
Gangs Of Wasseypur 2,232
"""Saheb Biwi Aur Gangster Returns""",260
Black Panther: Wakanda Forever,44781
Nautanki Saala,278
Pyaar To Hona Hi Tha,1106
Heropanti 2,110801
Hum Tum,270
Raaz,19
Soldier,498
Commando-A One Man Army,167
Mulk,32475
Baghban,11
