Movie,Total Comments
Poster Boys,4368
Daag: The Fire,595
Virasat,1207
Lucknow Central,2998
Yes Boss,17
Hadh Kar Di Aapne,2907
Vikrant Rona,8972
Sye Raa Narasimha Reddy,23652
Kurukshetra,6977
Why Cheat India,11637
Darr,841
Zameen,1
Jaani Dushman: Ek Anokhi Kahani,25535
Jhootha Hi Sahi,64
Table No. 21,453
Guest iin London,1617
Jaanwar,72470
Dil Se..,208
Kunwara,4
Phir Bhi Dil Hai Hindustani,275
Nayak: The Real Hero,1
Tumko Na Bhool Paayenge,8
Rock On 2,168
Bichhoo,14
John Wick: Chapter 4,30394
Hello Brother,0
Mirzya,2249
Gangaajal,47
Wajah Tum Ho,1452
Albela,13
Mukkabaaz,1531
Bhoomi (film),7776
1920,101
Paltan,73
Revolver Rani,3
Bheja Fry 2,7
Vikram,50273
Firangi,14821
Angrezi Medium,26462
Saheb Biwi Aur Gangster,260
Tumbbad,286
Pataakha,6817
Anari No.1,208
Hogi Pyaar Ki Jeet,0
Shaadi Se Pehle,29
Fida,2517
Tera Jadoo Chal Gayaa,561
Ragini MMS,13
Love Sex aur Dhokha,72
Jaan,3261
Phoonk,128
Welcome to Sajjanpur,6
Sabse Bada Khiladi,3
Saajan,0
Aap Mujhe Achche Lagne Lage,6
Mr. and Mrs. Khiladi,10
Aan: Men at Work,14
Aksar 2,2656
Krantiveer,9
Sanam Teri Kasam,298
Diljale,554
Ajay,37166
Anek,27110
Julie,334
Namaste England,27969
Pyar ka Punchnama,118
Pal Pal Dil Ke Paas,17212
Drona,74
Haan Maine Bhi Pyaar Kiya,4
Bhai,2722
International Khiladi,45
HIT â€“ The First Case,23015
Dil Kya Kare,10751
Banjo,12047
Bheja Fry,11
Tujhe Meri Kasam,150
Arjun Patiala,9591
Guddu Rangeela,0
Dosti: Friends Forever,8999
Luv Shuv Tey Chicken Khurana,3
Ghayal,1147
Saudagar,5
Godfather,2670
Ram Jaane 1995,266
Trimurti,6
Khoobsurat,150
Aksar,1
Dhaai Akshar Prem Ke,337
Shikara,44100
Rashtra Kavach: OM,21
Sita Ramam,2537
B.A. Pass,1
Mere Yaar Ki Shaadi Hai,220
Welcome 2 Karachi,683
Daddy,180
Mard,38
Raja Babu,0
Haseena Parkar,6070
Jism,2
