Movie,Views,Sentiment,Total BO Collection
"&quot;Bhoothnath Returns&quot; Trailer (Official) | Amitabh Bachchan, Boman Irani | Releasing 11 April, 2014",4690080,0.06166666666666667,580000000
"Tevar (Official English Subtitle Trailer) | Arjun Kapoor, Sonakshi Sinha &amp; Manoj Bajpayee",626688,0.057374999999999995,560000000
Hum Saath Saath Hain Movie Trailer,267683,0.17015151515151514,800000000
"Kal Ho Naa Ho - Movie - Theatrical Trailer - Shahrukh Khan, Saif Ali Khan, Preity Zinta",2696874,0.21827380952380954,820000000
Khatta Meetha Official Trailer - Akashay Kumar,90201,0.0561031746031746,620000000
Blue | Trailer,4609,0.3416666666666666,630000000
Cirkus | Official Trailer | Ranveer Singh | Rohit Shetty | In Cinemas 23rd Dec,60293428,0.07750000000000001,600000000
"A Flying Jatt | Official Trailer | Tiger Shroff, Jacqueline Fernandez and Nathan Jones",40886558,0,560000000
Ta Ra Rum Pum | Official Trailer | Saif Ali Khan | Rani Mukerji | Jaaved Jaafery,1594095,0.16229166666666667,680000000
"Hasee Toh Phasee - Official Trailer - Sidharth Malhotra, Parineeti Chopra",4038371,0.4034232142857143,630000000
"Main Hoon Na - Trailer | Shah Rukh Khan, Sushmita Sen, Zayed Khan, Amrita Rao",5731866,0.17041666666666666,700000000
M.O.M. Original Trailer 2019,137120,0.177,650000000
YouTube   Namastey London   Trailer,180596,0.21594742063492064,710000000
Shaadi Ke Side Effects | Theatrical Trailer ft. Farhan Akhtar &amp; Vidya Balan,5713547,0.11454365079365078,690000000
Naam Shabana Official Theatrical Trailer | &quot;In Cinemas Now&quot;,7112101,0.14582983960483958,550000000
Tanu Weds Manu Returns Official Trailer | Watch Full Movie On Eros Now,12165471,0.18215277777777777,530000000
Bachna Ae Haseeno | Official Trailer | Ranbir | Deepika | Bipasha | Minissha,563279,0.24966666666666662,620000000
Official Trailer - Phata Poster Nikla Hero - Shahid Kapoor &amp; Ileana D&#39;Cruz,7181282,0.1976388888888889,630000000
"Thank God (Official Trailer) Ajay Devgn, Sidharth Malhotra, Rakul | Indra Kumar | Bhushan Kumar",59431163,0.18900297619047618,480000000
"&quot;Fukrey official Trailer&quot; | Pulkit Samrat, Manjot Singh, Ali Fazal, Richa Chadda,",976907,0.005,500000000
Mastizaade Sunny Leone Official Trailer | Tusshar Kapoor and Vir Das,286357,0.0,510000000
Bunty Aur Babli | Official Trailer | Abhishek Bachchan | Rani Mukerji | Amitabh Bachchan,855576,0.14150000000000001,620000000
Official Trailer: Tumhari Sulu | Vidya Balan | Releasing on 17th November 2017,14271825,0.22174242424242424,500000000
"Bullett Raja Official Trailer 2013 | Saif Ali Khan, Sonakshi Sinha",84884,0.17833333333333334,530000000
Ramaiya Vastavaiya - Official Film Trailer,12332451,0.12791666666666668,500000000
"Ghayal Once Again | Theatrical Trailer | Sunny Deol, Soha Ali Khan | 5th Feb 2016",3066265,0.09708420745920746,570000000
"Force 2 | Official Trailer | John Abraham, Sonakshi Sinha and Tahir Raj Bhasin",22692534,0.15692307692307692,580000000
Mardaani | Official Trailer | Rani Mukerji | Tahir Raj Bhasin,9298464,0.07868518518518519,590000000
"Finding Fanny | Official Trailer | Arjun Kapoor, Deepika Padukone",6798355,0,630000000
"Runway 34 - Official Trailer | Rent Now On Prime Video Store | Amitabh Bachchan, Ajay Devgn, Rakul P",486286,0.1424272486772487,500000000
"Vicky Donor - Official Trailer | Ayushmann Khurrana, Yami Gautam",2296157,0.014675324675324671,540000000
Badmaash Company - Trailer with English Subtitles | Shahid Kapoor | Anushka Sharma,295969,0.10924242424242425,500000000
Chhapaak | Official Trailer | Deepika Padukone | Vikrant Massey | Meghna Gulzar | 10 January 2020,52802054,0.16,550000000
Dil To Pagal Hai | Official Trailer | Shah Rukh Khan | Madhuri Dixit | Karisma Kapoor | Akshay Kumar,1385690,0.1870138888888889,580000000
English Vinglish | Official Trailer,1593174,0.3537058080808081,830000000
"Judgementall Hai Kya Official Trailer | Kangana Ranaut, Rajkummar Rao | 26th July 2019",26808953,-0.017285714285714283,490000000
Hamari Adhuri Kahaani Official Trailer 1 (2015) - Bollywood Movie HD,1301534,0.25607291666666665,510000000
Lagaan Trailer | Lagaan: Once Upon a Time in India | Aamir Khan | Ashutosh Gowariker,130697,0.3225277777777777,580000000
‘Bareilly Ki Barfi’ Official Trailer | Kriti Sanon | Ayushmann Khurrana | Rajkummar Rao,19461561,0.16572916666666665,580000000
SARKAR RAJ_TRAILER,75976,-0.025,570000000
Yamla Pagla Deewana 2 Official Theatrical Trailer | Dharmendra | Sunny Deol | Bobby Deol,3461257,0.1866666666666667,480000000
"Panipat | Official Trailer |Sanjay Dutt, Arjun Kapoor, Kriti Sanon|Ashutosh Gowariker|In Cinema Now",52546095,0.04708333333333333,490000000
"Hero | Official Trailer (HD) - Jet Li, Donnie Yen, Maggie Cheung | MIRAMAX",1022003,0.1897569444444444,490000000
"BellBottom | Official Trailer | Akshay Kumar | Vaani | Vashu, Jackky Bhagnani | Huma | Aug 19, 2021",53271260,0.12310606060606062,530000000
