Movie,Views,Sentiment,Total BO Collection
"An Action Hero (Official Trailer) Ayushmann Khurrana, Jaideep A | Aanand L Rai, Anirudh | Bhushan K",28712868,0.2413839285714286,160000000
Poster Boys – Official Trailer | Sunny Deol | Bobby Deol | Shreyas Talpade,14847534,0.1267916666666667,140000000
"Daag The Fire Full Movie | Sanjay Dutt, Chandrachur Singh, Mahima Chaudhry | Bollywood Action Movies",6724217,0.12105263157894736,200000000
"Virasat ( विरासत )Hindi 4K Full Movie | Anil Kapoor BLOCKBUSTER HIT | Amrish Puri, Tabu, Pooja Batra",10055207,0.05681818181818181,200000000
Lucknow Central | Official Trailer | 15th September | Farhan Akhtar | Diana Penty | Gippy Grewal,9281735,0.08499999999999999,160000000
Yes Boss - Liebe und Hinterlist HQ / DEUTSCHSPRACHIG !!! / OFFICIAL GERMAN DVD TRAILER /,158413,0.11444444444444445,220000000
Hadh Kar Di Aapne - Govinda all the way Watch this scene and be ready to laugh,13983131,0.22774999999999998,190000000
"Vikrant Rona - Official Hindi Trailer || K Sudeep, Jacqueline F || Anup B | Ajaneesh | Shalini Artss",12278130,0.3432738095238094,1000000000
Sye Raa Trailer (Telugu) - Chiranjeevi | Ram Charan | Surender Reddy | Oct 2nd Release,23330237,0.16135416666666666,2460000000
"Kurukshetra Kannada Trailer | Munirathna | Darshan, Ambarish, V.Ravichandran, Arjun Sarja | Naganna",5880484,0.13482421875,180000000
Why Cheat India Trailer | Emraan Hashmi | Soumik Sen | Releasing 18 January,17668818,0.20249999999999999,140000000
"Darr | Official Trailer | Shah Rukh Khan, Juhi Chawla, Sunny Deol, Anupam Kher, Tanvi | Yash Chopra",1531635,0.2149122174122174,210000000
"Zameen Official Trailer | Ajay Devgan, Abhishek Bachchan, Bippasa Basu, Sanjay Mishra | K.K.",18250,0.0,160000000
"Jaani Dushman: Ek Anokhi Kahani (2002) Full Hindi Movie | Akshay Kumar, Sunny Deol, Manisha Koirala",238436613,0.03333333333333333,190000000
Jhootha Hi Sahi 2010 Theatrical Trailer,121020,0.28782855339105334,160000000
"Table No. 21 (Uncut Trailer) | Paresh Rawal, Rajeev Khandelwal &amp; Tena Desae",2177909,0.18979464285714287,170000000
"Guest iin London | Official Trailer | Paresh Rawal, Kartik Aaryan, Kriti Kharbanda, Tanvi Azmi",9181589,0.14708333333333332,110000000
"ANIMAL (OFFICIAL TRAILER): Ranbir Kapoor | Rashmika M, Anil K, Bobby D | Sandeep Vanga | Bhushan K",93488087,0.20274999999999999,180000000
"Dil Se.. - Official Trailer |ShahRukh Khan, ManishaKoirala | Mani Ratnam | A.R. Rahman | H1 Creation",552974,0.18542857142857144,240000000
Movie Kunwara - Official Trailer - Govinda &amp; Urmila,77916,0.20833333333333331,190000000
"Phir Bhi Dil Hai Hindustani | Trailer | Now in HD | Shah Rukh Khan, Juhi Chawla",989612,0.24125000000000002,240000000
Nayak 2001   Official Trailer   Anil Kapoor   Amrish Puri   Rani Mukerji   NH Studioz,17864,0.7,190000000
Tumko na Bhool Paayenge - Official Trailer,47680,0.3083333333333333,190000000
"Rock On 2 Official Teaser with Subtitle | Farhan Akhtar, Shraddha Kapoor, Arjun Rampal, Prachi Desai",5055632,0.16542395104895105,170000000
BICHHOO MOVIE TRAILER,12313,0.24092948717948717,170000000
"John Wick: Chapter 4 (2023 Movie) Official Trailer – Keanu Reeves, Donnie Yen, Bill Skarsgård",49269512,0.0511277035180544,30500000000
Trailer Hello brother,4280,0,200000000
Mirzya Official Trailer | Harshvardhan Kapoor | Saiyami Kher | Gulzar | Rakeysh Omprakash Mehra,10310126,0.15760416666666666,150000000
Gangaajal Theatrical Trailer 1,385665,0.22583333333333333,160000000
"Wajah Tum Ho Theatrical Trailer 2 | Vishal Pandya | Sana Khan, Sharman &amp; Gurmeet Rajniesh",2601687,0.21899404761904764,140000000
Movie &quot;Albela&quot; - Official Trailer,52028,0.19772727272727272,180000000
Mukkabaaz Official Trailer | Watch Full Movie On Eros Now,7911679,0.168875,0
"&quot;Bhoomi Trailer&quot; (Official) Sanjay Dutt, Aditi Rao Hydari | Releasing 22 September",19428366,0.08166666666666667,140000000
1920 Trailer,751307,0.09674242424242425,130000000
