Movie,Total Comments
Partner,1190
Besharam,355
Malang,33758
Shootout at Wadala,77
Mere Brother Ki Dulhan,917
Mohenjo Daro,11715
Action Jackson,2284
Mary Kom,2089
Haider,847
Jodhaa Akbar,65
Mubarakan,4486
Once Upon a Time in Mumbaai,302
Jaane Tu... Ya Jaane Na,58
Yamla Pagla Deewana,512
Kabhi Khushi Kabhie Gham,784
Boss,10
Phantom,759
Jagga Jasoos,2875
Dilwale Dulhania Le Jayenge,1238
Rang De Basanti,371
Heropanti,881
Ki & Ka,489
102 Not Out,6563
Fanaa,455
Hate Story 3,12
Delhi Belly,240
Kahaani,240
Golmaal Returns,21
Main Tera Hero,81
Sachin A Billion Dreams,15342
Sachin: A Billion Dreams,15342
Bachchhan Paandey,1069
Don: The Chase Begins Again,1115
Badlapur,1339
Kis Kisko Pyaar Karoon,496
Spider-Man: No Way Home,175538
Kai Po Che!,531
Bhool Bhulaiyaa,954
Kites,554
Raksha Bandhan,2734
De Dana Dan,34
Marjaavaan,48981
Murder 2,10
Himmatwala,3
Mardaani 2,16941
Heyy Babyy,124
Kambakkht Ishq,256
Koi... Mil Gaya,262
Kuch Kuch Hota Hai,45
Ragini MMS 2,83
Thank You,215
Shuddh Desi Romance,1245
Hichki,10221
October,15234
Veer,191
Ishaqzaade,537
Guru,49
New York,470
Kyaa Super Kool Hai Hum,72
Kabhi Alvida Naa Kehna,815
No Entry,382
Roy,1653
K.G.F : Chapter 1,44876
ABCD: Any Body Can Dance,33
Dostana,50
Double Dhamaal,255
Kaho Naa... Pyaar Hai,11
Heroine,499
Ek Villain Returns,44774
Raja Hindustani,13
Agent Vinod,223
Shaandaar,734
I Hate Luv Storys,189
Romeo Akbar Walter,19600
Shubh Mangal Saavdhan,3557
Madras Cafe,3119
Desi Boyz,16
Veer-Zaara,1421
Jannat 2,95
Mohabbatein,940
Devdas,316
All The Best: Fun Begins,14
Kaminey,0
Chashme Baddoor,753
Pagalpanti,17657
Atithi Tum Kab Jaoge?,57
Wazir,1576
Batti Gul Meter Chalu,22375
Phir Hera Pheri,0
Matru Ki Bijlee Ka Mandola,47
Anjaana Anjaani,127
Bhagam Bhag,21
Love Aaj Kal,32911
Yaariyan,1109
Shamshera,50810
Aarakshan,807
Antim: The Final Truth,70238
Ek Main Aur Ekk Tu,353
Border,
Bhoothnath Returns,738
