Movie,Views,Sentiment,Total BO Collection
Sholay Trailer (1975),69991,0.17376882376882377,500000000
1920 LONDON | OFFICIAL THEATRICAL TRAILER | 06 May 2016,11804170,0.16870370370370372,220000000
Tasveer 8x10 Thearatical Trailer | HQ,162019,0.1593759018759019,230000000
Apaharan - Trailer,85981,0.16666666666666666,220000000
Tezz Theatrical Trailer (HD),2851261,0.12325892857142857,260000000
Har Dil Jo Pyar Karega - trailer 1 -,133316,0.1649659863945578,320000000
Marvel Studios’ Guardians of the Galaxy Vol. 3 | Official Trailer,33664795,0.2373543123543124,43500000000
Badal (2000) Theatrical Trailer Bobby Deol Rani Mukherjee Amrish Puri,7674,0.1638888888888889,250000000
Deewane Huye Paagal  - Superhit Bollywood Comedy - Akshay Kumar - Paresh Rawal - Sunil Shetty,49452458,0.017105263157894738,260000000
Tere Naam (Theatrical Trailer) | Salman Khan &amp; Bhumika Chawla,993202,0.17979166666666666,240000000
Dev D Trailer,48032,0.261574074074074,190000000
Saathiya | Official Trailer | Vivek Oberoi | Rani Mukerji,400757,0.16966540404040406,280000000
"Ghatak Movie Trailer  1996 (Sanny Deol, Minakshi, Danny)",6346,0.0,260000000
Mela Telugu Movie Official Trailer || Sai Dhanshika || Ali || Sony Charishta || NSE,172013,0.08361742424242424,280000000
"Zanjeer Trailer 2013 Hindi Movie | Ram Charan, Priyanka Chopra, Prakash Raj,Sanjay Dutt",2472106,0.16170454545454546,220000000
"Haseena Maan Jaayegi - Official Trailer - Govinda, Sanjay Dutt, Karisma Kapoor &amp; Pooja Batra",504441,0.2533333333333333,260000000
Film &quot;Saala Khadoos&quot; 2016 - Official Trailer - R .Madhavan And Ritika Singh,208490,0.14320601851851852,210000000
A Haunting In Venice | Official Trailer | In Theaters Sept 15,7063911,0.01470517676767676,210000000
BAADSHAH movie Trailer shahrukh Khan and twinkle khanna love story movie,31162,0.49000000000000005,310000000
Koyla Trailer - Shahrukh Khan Koyla Full Trailer | Koyla Hindi Movie SRK -,7179,0.26,270000000
"Jhund (Trailer) Amitabh Bachchan | Nagraj Popatrao Manjule | Ajay-Atul | Sandeep S, Bhushan Kumar",18643875,0.1436111111111111,230000000
Freaky Ali Official Trailer | Nawazuddin Siddiqui |Arbaaz khan | Sohail Khan |Amy Jackson,12541285,0.14472222222222222,210000000
Hamara Dil Aapke Pass Hai - Trailer - HQ,179866,0.0875,290000000
fiza movie promo,13530,0,310000000
"Gulaab Gang - Official Trailer | Madhuri Dixit, Juhi Chawla",5266568,0.31034040178571426,220000000
KHILADIYON KA KHILADI | 2022 TRAILER | REVIVED | AKSHAY KUMAR | UNDERTAKER,5057,0.26,250000000
