Movie,Total Comments
Pathaan,203260
Baahubali 2 The Conclusion,28513
KGF Chapter 2,159960
Dangal,31021
Sanju,79240
PK,1292
Tiger Zinda Hai,105123
Bajrangi Bhaijaan,12770
War,11049
Padmaavat,58896
Sultan,17466
Kabir Singh,70081
Tanhaji: The Unsung Warrior,81844
RRR,86774
Dhoom 3,15734
The Kashmir Files,116443
Brahmastra Part One: Shiva,46627
URI The Surgical Strike,57739
Simmba,64888
Drishyam 2,8646
Kick,1983
Krrish 3,3734
Chennai Express,107
Bharat,89017
Housefull 4,65664
Prem Ratan Dhan Payo,8754
Golmaal Again,19534
Good Newwz,38342
Mission Mangal,52216
3 Idiots,1593
Happy New Year,5901
Ek Tha Tiger,10356
Sooryavanshi,134231
2,18636
Yeh Jawaani Hai Deewani,1668
Bhool Bhulaiyaa 2,83273
Bajirao Mastani,655
Bang Bang!,128
Race 3,39907
Baaghi 2,45710
Raees,53336
Kesari,80456
Total Dhamaal,52258
Dabangg 2,11194
Chhichhore,22086
Tanu Weds Manu Returns,2163
Bodyguard,3203
Dilwale,16144
Super 30,67241
Tu Jhoothi Main Makkar,49512
Dabangg 3,85820
Saaho,51673
Thugs Of Hindostan,139033
Dream Girl,46
Singham Returns,2691
Dabangg,410
Gully Boy,61381
Judwaa 2,18638
Badhaai Ho,19667
The Kerala Story,137775
Toilet Ek Prem Katha,16686
Rowdy Rathore,11
M.S. Dhoni: The Untold Story,27730
Gangubai Kathiawadi,47326
Stree,16064
Airlift,3299
Avatar: The Way of Water,43056
Rustom,6396
Raazi,17369
Ready,178
Jab Tak Hai Jaan,35136
Tubelight,18232
Baahubali,9577
Agneepath,652
Badrinath Ki Dulhania,10062
Goliyon Ki Rasleela Ram-Leela,1851
Jai Ho,614
Jolly LLB 2,499
Avengers End Game,260106
Bala,27572
Ra.One,2010
Ghajini,25
Ae Dil Hai Mushkil,1781
Holiday,262
Barfi!,180
Housefull 2,479
Housefull 3,5970
Gold,745
Kisi Ka Bhai Kisi Ki Jaan,71018
Sonu Ke Titu Ki Sweety,8921
Bhaag Milkha Bhaag,255
Don 2: The Chase Continues,1
Golmaal 3,48
Pushpa: The Rise (Part 1),32339
ABCD 2,26
Ek Villain,3693
Son Of Sardaar,70
Kaabil,29
De De Pyaar De,30370
83,51473
